# Example Custom Stack
# position	card	mnemonic
1	AS	Ace of Spades - Lightning bolt
2	2S	Two of Spades - Swan
3	3S	Three of Spades - Trident
4	4S	Four of Spades - Chair
5	5S	Five of Spades - Star
6	6S	Six of Spades - Dice
7	7S	Seven of Spades - Rainbow
8	8S	Eight of Spades - Hourglass
9	9S	Nine of Spades - Cat
10	10S	Ten of Spades - Bowling pins
11	JS	Jack of Spades - Soldier
12	QS	Queen of Spades - Crown
13	KS	King of Spades - Throne
14	AH	Ace of Hearts - Arrow
15	2H	Two of Hearts - Couple
16	3H	Three of Hearts - Clover
17	4H	Four of Hearts - Table
18	5H	Five of Hearts - Glove
19	6H	Six of Hearts - Cherry
20	7H	Seven of Hearts - Sunset
21	8H	Eight of Hearts - Octopus
22	9H	Nine of Hearts - Balloon
23	10H	Ten of Hearts - Treasure
24	JH	Jack of Hearts - Jester
25	QH	Queen of Hearts - Rose
26	KH	King of Hearts - Shield
27	AC	Ace of Clubs - Torch
28	2C	Two of Clubs - Binoculars
29	3C	Three of Clubs - Triangle
30	4C	Four of Clubs - Compass
31	5C	Five of Clubs - Hand
32	6C	Six of Clubs - Bee
33	7C	Seven of Clubs - Lucky charm
34	8C	Eight of Clubs - Spider
35	9C	Nine of Clubs - Whistle
36	10C	Ten of Clubs - Medal
37	JC	Jack of Clubs - Sword
38	QC	Queen of Clubs - Chalice
39	KC	King of Clubs - Scepter
40	AD	Ace of Diamonds - Ring
41	2D	Two of Diamonds - Eyes
42	3D	Three of Diamonds - Pyramid
43	4D	Four of Diamonds - Window
44	5D	Five of Diamonds - Pentagon
45	6D	Six of Diamonds - Snowflake
46	7D	Seven of Diamonds - Crystal
47	8D	Eight of Diamonds - Gem
48	9D	Nine of Diamonds - Lamp
49	10D	Ten of Diamonds - Crown jewels
50	JD	Jack of Diamonds - Pickaxe
51	QD	Queen of Diamonds - Tiara
52	KD	King of Diamonds - Castle
